"title,artist,album,duration,url"
"Untitled,"""","""",""3:49"",""https://music.youtube.com/watch?v=3lZio7K7DK4&list=LM"""
"In A Dream,"""","""",""4:30"",""https://music.youtube.com/watch?v=lO2ZhJSc2hs&list=LM"""
"Need,"""","""",""2:56"",""https://music.youtube.com/watch?v=NgnVFEgI6fQ&list=LM"""
"Silent Call,"""","""",""3:30"",""https://music.youtube.com/watch?v=HApzaO653Cs&list=LM"""
"Resurrection,"""","""",""2:46"",""https://music.youtube.com/watch?v=42HshzCnaag&list=LM"""
"Scars,"""","""",""7:11"",""https://music.youtube.com/watch?v=gq26YU1LfiQ&list=LM"""
"Dead Eyes,"""","""",""15:35"",""https://music.youtube.com/watch?v=bjDzdNoVlJg&list=LM"""
"Pachyclada,"""","""",""8:44"",""https://music.youtube.com/watch?v=BRmcpZnFBC8&list=LM"""
"Sweeper,"""","""",""7:20"",""https://music.youtube.com/watch?v=YAnh4Ei6TOc&list=LM"""
"Noise of the Void,"""","""",""5:33"",""https://music.youtube.com/watch?v=XGOHXtKnMk4&list=LM"""
"Day Star,"""","""",""4:58"",""https://music.youtube.com/watch?v=tTHwEKDiOrc&list=LM"""
"Stare At The Void,"""","""",""4:07"",""https://music.youtube.com/watch?v=siDhacKVxdE&list=LM"""
"my mind is in ruins,"""","""",""3:29"",""https://music.youtube.com/watch?v=g9DLbzRAc1w&list=LM"""
"In The Air Tonight,"""","""",""5:02"",""https://music.youtube.com/watch?v=6gyBpFcHB18&list=LM"""
"Rop Fra R?ynda - M?lt Fra Minne,"""","""",""5:44"",""https://music.youtube.com/watch?v=zhNamUHNre8&list=LM"""
"Den grymma h?sten,"""","""",""5:18"",""https://music.youtube.com/watch?v=NUKSguYbfo8&list=LM"""
"As Sick As The Secrets Of (Sleep),"""","""",""5:00"",""https://music.youtube.com/watch?v=IgFZnLHCSSY&list=LM"""
"Marilyn Manson - Resident Evil Main Theme (Dubstep/Metal Remix),"""","""",""5:35"",""https://music.youtube.com/watch?v=9hZxNb7-TPg&list=LM"""
"Orchard,"""","""",""6:38"",""https://music.youtube.com/watch?v=ziZ9w5OiyKo&list=LM"""
"Salve Mater,"""","""",""9:08"",""https://music.youtube.com/watch?v=WDcKPlRHKQo&list=LM"""
"Suffering,"""","""",""5:53"",""https://music.youtube.com/watch?v=h8H6pFMHfaQ&list=LM"""
"More; Less.,"""","""",""5:29"",""https://music.youtube.com/watch?v=XSXJOiT76tI&list=LM"""
"SONNE (in style of DOOM),"""","""",""4:16"",""https://music.youtube.com/watch?v=ybQOfmXEQhY&list=LM"""
"Asteroid,"""","""",""4:49"",""https://music.youtube.com/watch?v=EjHzPrBCgf0&list=LM"""
"Negative Is The New Positive,"""","""",""8:51"",""https://music.youtube.com/watch?v=MEX_nQvGdhI&list=LM"""
"Grifter,"""","""",""5:18"",""https://music.youtube.com/watch?v=d3H8jcCqnBA&list=LM"""
"Centurion,"""","""",""5:57"",""https://music.youtube.com/watch?v=YJ9_2P2J35I&list=LM"""
"State of Non-Return,"""","""",""6:06"",""https://music.youtube.com/watch?v=BdpA3tzX8YI&list=LM"""
"Drown Within,"""","""",""6:43"",""https://music.youtube.com/watch?v=LKLa06iaVkc&list=LM"""
"Destinos,"""","""",""13:13"",""https://music.youtube.com/watch?v=n9-hYw6ajNQ&list=LM"""
"In Spirit in Spite,"""","""",""8:11"",""https://music.youtube.com/watch?v=8AHHmyiC6FY&list=LM"""
"ABSENT IN BODY - The Half Rising Man (Official Music Video),"""","""",""5:59"",""https://music.youtube.com/watch?v=PfnuztoGz_I&list=LM"""
"Sarin,"""","""",""5:58"",""https://music.youtube.com/watch?v=fUHXKccwo5Q&list=LM"""
"Rise from Ruins,"""","""",""5:32"",""https://music.youtube.com/watch?v=ilVI_beyVNI&list=LM"""
"10910,"""","""",""26:30"",""https://music.youtube.com/watch?v=zNCuC-KpahE&list=LM"""
"She Never Left,"""","""",""4:13"",""https://music.youtube.com/watch?v=kKPYCF-83k0&list=LM"""
"Best Collection of Classical Guitar Music 2024 | 11 Hours of Pure Joy ??,"""","""",""11:45:03"",""https://music.youtube.com/watch?v=aCXPBXgiBvk&list=LM"""
"Amenra - acoustic set  - Grauzone festival 2021,"""","""",""1:06:03"",""https://music.youtube.com/watch?v=LP-4yXQp2AY&list=LM"""
"POTHAMUS - Abur (Full Album Stream),"""","""",""46:48"",""https://music.youtube.com/watch?v=xBZyJyUwUdk&list=LM"""
".De Dodenakker.,"""","""",""10:06"",""https://music.youtube.com/watch?v=N5optqBoMSg&list=LM"""
"Sightless,"""","""",""7:04"",""https://music.youtube.com/watch?v=keMt8jdDNCA&list=LM"""
"Savartuum Avur,"""","""",""8:12"",""https://music.youtube.com/watch?v=kte6rwJ3tP8&list=LM"""
"Ykavus,"""","""",""6:37"",""https://music.youtube.com/watch?v=sSgNvmZAgLI&list=LM"""
"Zhikarta,"""","""",""7:27"",""https://music.youtube.com/watch?v=TkYtAeRjHKY&list=LM"""
"Nothing to Win,"""","""",""11:22"",""https://music.youtube.com/watch?v=Y6hAnFZkJ9A&list=LM"""
"Passing Through,"""","""",""6:04"",""https://music.youtube.com/watch?v=UoVvTuIwXA4&list=LM"""
"Cult of Luna - Three Bridges (official),"""","""",""8:46"",""https://music.youtube.com/watch?v=wgN3OV6XtTY&list=LM"""
"Ogentroost,"""","""",""10:02"",""https://music.youtube.com/watch?v=eGGh7HNXUHY&list=LM"""
"Het Gloren,"""","""",""11:31"",""https://music.youtube.com/watch?v=ElA3Dusb0Ng&list=LM"""
"Roses,"""","""",""5:06"",""https://music.youtube.com/watch?v=LIhYlC-fqS8&list=LM"""
"Bright Eyes,"""","""",""4:38"",""https://music.youtube.com/watch?v=UXo6cJQ0_AI&list=LM"""
"The Valley,"""","""",""8:59"",""https://music.youtube.com/watch?v=mil14n6x8-w&list=LM"""
".TerZiele.Tottedood.,"""","""",""6:50"",""https://music.youtube.com/watch?v=r-ih8-51s30&list=LM"""
"Wear My Crown,"""","""",""4:09"",""https://music.youtube.com/watch?v=2L3bHxyzAHo&list=LM"""
"Beat Around the Bush,"""","""",""4:06"",""https://music.youtube.com/watch?v=uDBwBXc94YQ&list=LM"""
"Ghosts,"""","""",""4:36"",""https://music.youtube.com/watch?v=VvGKmot9kyM&list=LM"""
"Inland Rain,"""","""",""7:01"",""https://music.youtube.com/watch?v=TnKhldSmkbE&list=LM"""
"Nightwalkers,"""","""",""10:49"",""https://music.youtube.com/watch?v=_SQMmv1s0FE&list=LM"""
"Curse,"""","""",""6:31"",""https://music.youtube.com/watch?v=w9i467MB4EY&list=LM"""
"The Fall,"""","""",""13:13"",""https://music.youtube.com/watch?v=oH5ONciEHIs&list=LM"""
"Full Moon,"""","""",""3:07"",""https://music.youtube.com/watch?v=BLccmVDxYlw&list=LM"""
"An Offering to the Wild (feat. Colin Stetson),"""","""",""12:44"",""https://music.youtube.com/watch?v=QpugQEgvelY&list=LM"""
"The Wreck of S.S. Needle,"""","""",""9:34"",""https://music.youtube.com/watch?v=LITp8cIL904&list=LM"""
"My Funeral Dreams,"""","""",""6:04"",""https://music.youtube.com/watch?v=VnYoEnuEn3Q&list=LM"""
"The Bleeding Baroness,"""","""",""7:20"",""https://music.youtube.com/watch?v=a-SMGfIW1Y0&list=LM"""
"Muuntautuja,"""","""",""4:31"",""https://music.youtube.com/watch?v=UJyUIB5JeQw&list=LM"""
"Rape Me,"""","""",""2:54"",""https://music.youtube.com/watch?v=-trHxO8-Wj4&list=LM"""
"Milk It,"""","""",""4:00"",""https://music.youtube.com/watch?v=HJ2KN7PS3GM&list=LM"""
"Something in the Way,"""","""",""5:03"",""https://music.youtube.com/watch?v=TF7LeaNTCqc&list=LM"""
"There Is No Horizon,"""","""",""7:03"",""https://music.youtube.com/watch?v=8GH9p3x4LqE&list=LM"""
"Narcissist's Prayer,"""","""",""6:13"",""https://music.youtube.com/watch?v=OOKehNZc0uY&list=LM"""
"Herr Mannelig,"""","""",""7:00"",""https://music.youtube.com/watch?v=XPhrTe_SHGI&list=LM"""
"Voice of the Soul,"""","""",""3:44"",""https://music.youtube.com/watch?v=s2EJ1AqPIPg&list=LM"""
"Descend,"""","""",""3:41"",""https://music.youtube.com/watch?v=GhD_odiNoQs&list=LM"""
"Get Inside,"""","""",""3:09"",""https://music.youtube.com/watch?v=0c1I-0kC84E&list=LM"""
"Leave Me Alive,"""","""",""2:53"",""https://music.youtube.com/watch?v=83c2YFD1tFU&list=LM"""
"the only one,"""","""",""3:20"",""https://music.youtube.com/watch?v=d32EQS0SvPs&list=LM"""
"Street Spirit (Fade Out),"""","""",""5:35"",""https://music.youtube.com/watch?v=Mifg13H8ydU&list=LM"""
"Moonspell and Grief,"""","""",""7:04"",""https://music.youtube.com/watch?v=FldHacGYeZ8&list=LM"""
"HEALTH - MAX: PANAMA (Doomer Version),"""","""",""4:50"",""https://music.youtube.com/watch?v=bBDnJEzxDPc&list=LM"""
"Giant's Eternal Sleep,"""","""",""7:37"",""https://music.youtube.com/watch?v=Oka4J8nIz_4&list=LM"""
"Panama - Max Payne 3 OST (slowed + reverb),"""","""",""5:53"",""https://music.youtube.com/watch?v=VkYZKdWD59k&list=LM"""
"NC-17,"""","""",""3:09"",""https://music.youtube.com/watch?v=kNAySFS3Msk&list=LM"""
"PAIN,"""","""",""3:31"",""https://music.youtube.com/watch?v=LtlsuMUZBvg&list=LM"""
"Missu,"""","""",""3:13"",""https://music.youtube.com/watch?v=DSqM-wr_xRo&list=LM"""
"HEALTH :: MASS GRAVE (BROTHEL REMIX) :: DISCO4+,"""","""",""2:58"",""https://music.youtube.com/watch?v=mDKTRhG0LdI&list=LM"""
"Colossal Rains,"""","""",""4:32"",""https://music.youtube.com/watch?v=ojyQxJgfN2g&list=LM"""
"I Can See You,"""","""",""6:12"",""https://music.youtube.com/watch?v=FcFIT90oMrE&list=LM"""
"Left to Wander,"""","""",""8:11"",""https://music.youtube.com/watch?v=woS5mJNLm9w&list=LM"""
"The Eye of Every Storm,"""","""",""11:57"",""https://music.youtube.com/watch?v=iSNcfmlGLQs&list=LM"""
"Souls At Zero,"""","""",""9:19"",""https://music.youtube.com/watch?v=zV1ZQJCd_Vs&list=LM"""
"To Crawl Under One's Skin,"""","""",""7:52"",""https://music.youtube.com/watch?v=e_RLPwgvLS0&list=LM"""
"Silent Hill 2 Remake OST- Laura Plays The Piano,"""","""",""5:09"",""https://music.youtube.com/watch?v=23jO7fKtdlw&list=LM"""
"Don, Aman,"""","""",""6:29"",""https://music.youtube.com/watch?v=qMHh02UhQhs&list=LM"""
"Neurosis - Through Silver In Blood,"""","""",""12:13"",""https://music.youtube.com/watch?v=Yp7Dz4bh5UE&list=LM"""
"Silent Hill 2 Remake OST- True (2024),"""","""",""4:00"",""https://music.youtube.com/watch?v=9ZzDH1G07Fw&list=LM"""
"The Tourist,"""","""",""5:24"",""https://music.youtube.com/watch?v=4OzU1jdjSZA&list=LM"""
"Decks Dark,"""","""",""4:42"",""https://music.youtube.com/watch?v=Del3C2W63Pk&list=LM"""
"Climbing Up the Walls,"""","""",""4:46"",""https://music.youtube.com/watch?v=XX4EpkR-Sp4&list=LM"""
"Spectre,"""","""",""3:20"",""https://music.youtube.com/watch?v=CLiDemXYSLc&list=LM"""
"eternal,"""","""",""3:23"",""https://music.youtube.com/watch?v=cC_xAHFG84s&list=LM"""
"vanity,"""","""",""4:00"",""https://music.youtube.com/watch?v=R-GJbPJtffQ&list=LM"""
"Lost Tears,"""","""",""4:36"",""https://music.youtube.com/watch?v=VCHcX_sf3kI&list=LM"""
"Sliver,"""","""",""3:32"",""https://music.youtube.com/watch?v=L_8RwjaE0is&list=LM"""
"NADA,"""","""",""4:15"",""https://music.youtube.com/watch?v=DQtP5AIUieE&list=LM"""
"Sad Song,"""","""",""3:17"",""https://music.youtube.com/watch?v=iMIBEO4d_2E&list=LM"""
"Total Decay,"""","""",""4:17"",""https://music.youtube.com/watch?v=ep1bofQ5ALU&list=LM"""
"Phantasia,"""","""",""4:28"",""https://music.youtube.com/watch?v=E3VL-DNE0dc&list=LM"""
"DooM II Music - Map 10 - The Demon's Dead by Nemistade,"""","""",""3:03"",""https://music.youtube.com/watch?v=tPZmazIlXRY&list=LM"""
"Shawn's Got the Shotgun,"""","""",""3:37"",""https://music.youtube.com/watch?v=etmueD0WRGk&list=LM"""
"Doom 3 Theme,"""","""",""2:50"",""https://music.youtube.com/watch?v=NNP0FMn4QBI&list=LM"""
"DooM II Music - Map 7 - Shawn's Got The Shotgun by Nemistade,"""","""",""3:31"",""https://music.youtube.com/watch?v=aD2oM6J8-5k&list=LM"""
"Moth,"""","""",""6:34"",""https://music.youtube.com/watch?v=7Efh3kRicZ4&list=LM"""
"Birdbox,"""","""",""5:35"",""https://music.youtube.com/watch?v=HCyCZi97koM&list=LM"""
"Darkthrone - Rust // Acoustic Black Metal Cover,"""","""",""2:59"",""https://music.youtube.com/watch?v=PrdoiGjnPps&list=LM"""
"Was It a Dream?,"""","""",""3:12"",""https://music.youtube.com/watch?v=fCwyuZtKeD0&list=LM"""
"Vandagr,"""","""",""4:01"",""https://music.youtube.com/watch?v=dvSF3YLb0c4&list=LM"""
"Muse of Suicide,"""","""",""7:45"",""https://music.youtube.com/watch?v=a1UTx_k6HX0&list=LM"""
"Unreleased material (1988 - 1994) - Burzum/Uruk-Hai,"""","""",""21:30"",""https://music.youtube.com/watch?v=HhxhDzF_GXg&list=LM"""
"The Soft Moon - ""Wasting"" (Official Music Video),"""","""",""5:59"",""https://music.youtube.com/watch?v=GqBMq5Q4s1o&list=LM"""
"Fuzzorgasm (Keep On Screaming),"""","""",""6:12"",""https://music.youtube.com/watch?v=SxvtIYtESaE&list=LM"""
"Slowshine,"""","""",""6:05"",""https://music.youtube.com/watch?v=KsYtA2thrgA&list=LM"""
"Nargaroth - Seven Tears Are Flowing to the River (Acoustic Cover),"""","""",""15:19"",""https://music.youtube.com/watch?v=gskFI6Eizk8&list=LM"""
"Serpens South,"""","""",""6:38"",""https://music.youtube.com/watch?v=vnNLwB2POG0&list=LM"""
"100 Pills,"""","""",""4:39"",""https://music.youtube.com/watch?v=ExJS8FUam5k&list=LM"""
"Dark Stone,"""","""",""6:16"",""https://music.youtube.com/watch?v=yb7TEn8079I&list=LM"""
"The Legend,"""","""",""8:47"",""https://music.youtube.com/watch?v=y6EcIXaHoeU&list=LM"""
"Cursing The One,"""","""",""8:54"",""https://music.youtube.com/watch?v=bAfN574Ld8U&list=LM"""
"Give Something,"""","""",""4:31"",""https://music.youtube.com/watch?v=z65pvNxVeBk&list=LM"""
"In Blueberry Memories,"""","""",""5:19"",""https://music.youtube.com/watch?v=K5XGjtFOM0k&list=LM"""
"in my restless dreams, i see that town,"""","""",""1:00:41"",""https://music.youtube.com/watch?v=pewjdvQbRTs&list=LM"""
"My Death,"""","""",""5:55"",""https://music.youtube.com/watch?v=MeMqJO1fv3Y&list=LM"""
"Chimera,"""","""",""7:01"",""https://music.youtube.com/watch?v=BrpaU8QY0FA&list=LM"""
"war,"""","""",""2:40"",""https://music.youtube.com/watch?v=EysPtYHDeU8&list=LM"""
"WRECK,"""","""",""2:45"",""https://music.youtube.com/watch?v=IbeHmmV810k&list=LM"""
"GAME OF THRONES - The Piano Medley | Costantino Carrara,"""","""",""4:53"",""https://music.youtube.com/watch?v=UE0y8MHqT-g&list=LM"""
"Suite Espanola, Op. 47: V. Asturias,"""","""",""6:10"",""https://music.youtube.com/watch?v=XlBLsC5oAWg&list=LM"""
"The Entertainer,"""","""",""4:28"",""https://music.youtube.com/watch?v=K8Pqt5lJV-4&list=LM"""
"Fandango, Op. 73, No. 2,"""","""",""2:53"",""https://music.youtube.com/watch?v=6KwQ1cNZpnc&list=LM"""
"Malaguena,"""","""",""3:13"",""https://music.youtube.com/watch?v=vysJmRKxcho&list=LM"""
"Ave Maria,"""","""",""4:00"",""https://music.youtube.com/watch?v=JEIKXlaxBZY&list=LM"""
"Swirl,"""","""",""3:07"",""https://music.youtube.com/watch?v=ysYL7zDbXXo&list=LM"""
"Blaviken,"""","""",""3:14"",""https://music.youtube.com/watch?v=ch_VyFmpqTg&list=LM"""
"Heidr (Instrumental),"""","""",""2:42"",""https://music.youtube.com/watch?v=ADG_bfoAriE&list=LM"""
"Myrkvidr (Instrumental),"""","""",""3:25"",""https://music.youtube.com/watch?v=WoygELd4FMg&list=LM"""
"Norse Viking Music - ?lfh??nar,"""","""",""5:03"",""https://music.youtube.com/watch?v=sTPDmZx3gKk&list=LM"""
"Berserkr (The Henbane Experience),"""","""",""6:09"",""https://music.youtube.com/watch?v=weed4iQgODk&list=LM"""
"Closer,"""","""",""4:15"",""https://music.youtube.com/watch?v=Up129IQUWTs&list=LM"""
"Labor of Death,"""","""",""4:13"",""https://music.youtube.com/watch?v=P0ACLz5SUN8&list=LM"""
"Khmary,"""","""",""3:35"",""https://music.youtube.com/watch?v=3bMWGT-kqhQ&list=LM"""
"The Path,"""","""",""3:02"",""https://music.youtube.com/watch?v=HLo2T2WzXvM&list=LM"""
"Is It Really You?,"""","""",""4:48"",""https://music.youtube.com/watch?v=q2_vW8jN454&list=LM"""
"WASTE,"""","""",""2:05"",""https://music.youtube.com/watch?v=csZTPVCLHyk&list=LM"""
"loathe - is it really you? (slowed + reverb),"""","""",""5:20"",""https://music.youtube.com/watch?v=cEdrzKArhKs&list=LM"""
"Radiohead  I will,"""","""",""4:24"",""https://music.youtube.com/watch?v=XWZmzdpyUTY&list=LM"""
"?gr?s,"""","""",""4:17"",""https://music.youtube.com/watch?v=a26UoMmolQw&list=LM"""
"Beware,"""","""",""6:01"",""https://music.youtube.com/watch?v=FzjaN0gPvaE&list=LM"""
"Drown,"""","""",""2:57"",""https://music.youtube.com/watch?v=UxxMhxBqRcw&list=LM"""
"Killer,"""","""",""3:04"",""https://music.youtube.com/watch?v=XGH-3voxcVk&list=LM"""
"Danphe and the Brain,"""","""",""5:18"",""https://music.youtube.com/watch?v=KMtEI5Og88E&list=LM"""
"We're No Here,"""","""",""5:42"",""https://music.youtube.com/watch?v=Vhs_VOq6Ty4&list=LM"""
"I Love You, I'm Going to Blow Up Your School,"""","""",""7:34"",""https://music.youtube.com/watch?v=6eAfUydSnYQ&list=LM"""
"Dracula Bells,"""","""",""7:45"",""https://music.youtube.com/watch?v=WA5YHqtLMug&list=LM"""
"Centralia,"""","""",""6:48"",""https://music.youtube.com/watch?v=Go6MvDIzYk0&list=LM"""
"Lyra,"""","""",""4:07"",""https://music.youtube.com/watch?v=7WPUKByw8ks&list=LM"""
"Back to the Roots,"""","""",""5:25"",""https://music.youtube.com/watch?v=YUmx_9cU4pE&list=LM"""
"Warmth of You,"""","""",""3:34"",""https://music.youtube.com/watch?v=5JPliBhRudU&list=LM"""
"Emptiness Will Eat the Witch,"""","""",""8:50"",""https://music.youtube.com/watch?v=g1NMx2kOJ9g&list=LM"""
"In My Head,"""","""",""5:55"",""https://music.youtube.com/watch?v=mzFZMt46tWk&list=LM"""
"I'm Going to Do It,"""","""",""6:17"",""https://music.youtube.com/watch?v=lbhAzwrSjL0&list=LM"""
"Serein,"""","""",""4:58"",""https://music.youtube.com/watch?v=P_o_j6v3PGE&list=LM"""
"Andreas R?nnberg - Insanity (Official Song Video),"""","""",""3:25"",""https://music.youtube.com/watch?v=Ni01hSes-Kw&list=LM"""
"Not Anymore,"""","""",""1:43"",""https://music.youtube.com/watch?v=asUJo_F80x8&list=LM"""
"Sometimes,"""","""",""3:37"",""https://music.youtube.com/watch?v=zpVlS1XViyE&list=LM"""
"MoozE - S.A.D. {STALKER Clear Sky OST},"""","""",""4:36"",""https://music.youtube.com/watch?v=KZkCjq9hCbg&list=LM"""
"Terrapack - Empty Noise {S.T.A.L.K.E.R.},"""","""",""2:34"",""https://music.youtube.com/watch?v=e4EopfFN0-I&list=LM"""
"A Monster,"""","""",""4:20"",""https://music.youtube.com/watch?v=F0XOtL2E32A&list=LM"""
"Answering Machine,"""","""",""5:09"",""https://music.youtube.com/watch?v=3U_LjQKV4FM&list=LM"""
"Dance With Night Wind,"""","""",""5:22"",""https://music.youtube.com/watch?v=MiFeu9m9Mvo&list=LM"""
"A Stray Child,"""","""",""5:29"",""https://music.youtube.com/watch?v=9TzIS71hM50&list=LM"""
"Leathers,"""","""",""4:11"",""https://music.youtube.com/watch?v=sPO81Fz4s2g&list=LM"""
"Rosemary,"""","""",""6:54"",""https://music.youtube.com/watch?v=fZcAQ0kuw1s&list=LM"""
"God Luck and Good Speed,"""","""",""4:26"",""https://music.youtube.com/watch?v=MQmWE1J_gXo&list=LM"""
"In the Shadow of Sunset,"""","""",""2:48"",""https://music.youtube.com/watch?v=KU_SntNB66w&list=LM"""
"From Dust to the Beyond,"""","""",""5:01"",""https://music.youtube.com/watch?v=8gq72c_rUyo&list=LM"""
"Frozen Twilight,"""","""",""6:18"",""https://music.youtube.com/watch?v=eI747NQQJpk&list=LM"""
"Outline,"""","""",""3:26"",""https://music.youtube.com/watch?v=MPJmsHJS39I&list=LM"""
"Blood Moon,"""","""",""7:51"",""https://music.youtube.com/watch?v=OVPaUUokkRc&list=LM"""
"The March of the Stones,"""","""",""4:10"",""https://music.youtube.com/watch?v=xvG6Nwo8o7U&list=LM"""
"Change (In the House of Flies) (Acoustic),"""","""",""3:58"",""https://music.youtube.com/watch?v=WPpDyIJdasg&list=LM"""
"Digital Bath,"""","""",""4:14"",""https://music.youtube.com/watch?v=O_IIAYZL1R4&list=LM"""
"Blur,"""","""",""3:24"",""https://music.youtube.com/watch?v=zTvxaX6_nWs&list=LM"""
"Covet,"""","""",""3:48"",""https://music.youtube.com/watch?v=LVn5k88DmUM&list=LM"""
"Uncover,"""","""",""3:34"",""https://music.youtube.com/watch?v=_lMJh7Wcfr0&list=LM"""
"Disturbed Lines, The Mansion (Live Version),"""","""",""6:44"",""https://music.youtube.com/watch?v=SaAv9Na8tNg&list=LM"""
"Jam 1,"""","""",""8:34"",""https://music.youtube.com/watch?v=rLuxMi2enn4&list=LM"""
"Overdose,"""","""",""4:27"",""https://music.youtube.com/watch?v=EO2lkMIxvUU&list=LM"""
"Katana Zero (Ost-Version),"""","""",""5:48"",""https://music.youtube.com/watch?v=CfSwxETYAd8&list=LM"""
"Full Confession,"""","""",""4:06"",""https://music.youtube.com/watch?v=DeHp5pPUPzI&list=LM"""
"Sail To The Moon,"""","""",""4:19"",""https://music.youtube.com/watch?v=INvrv9ppxvQ&list=LM"""
"True Love Waits,"""","""",""4:44"",""https://music.youtube.com/watch?v=WSnc_6Z7HqQ&list=LM"""
"Bullet Proof ... I Wish I Was,"""","""",""3:29"",""https://music.youtube.com/watch?v=KkCgUI_g2oo&list=LM"""
"High and Dry,"""","""",""4:18"",""https://music.youtube.com/watch?v=7fv84nPfTH0&list=LM"""
"Tinker Tailor Soldier Sailor Rich Man Poor Man Beggar Man Thief,"""","""",""5:04"",""https://music.youtube.com/watch?v=hetqKun4XFg&list=LM"""
"Dollars and Cents,"""","""",""4:52"",""https://music.youtube.com/watch?v=egUFlyfE1PY&list=LM"""
"All I Need,"""","""",""3:49"",""https://music.youtube.com/watch?v=FM7ALFsOH4g&list=LM"""
"There, There,"""","""",""5:24"",""https://music.youtube.com/watch?v=Z2aH-sluR5s&list=LM"""
"Pyramid Song,"""","""",""4:57"",""https://music.youtube.com/watch?v=3M_Gg1xAHE4&list=LM"""
"Creep (Acoustic),"""","""",""4:19"",""https://music.youtube.com/watch?v=4BX5xpB2DBM&list=LM"""
"Pyramid Song,"""","""",""4:49"",""https://music.youtube.com/watch?v=2Agt3XfmccM&list=LM"""
"Street Spirit (Fade Out),"""","""",""4:14"",""https://music.youtube.com/watch?v=2y6kop0VTXY&list=LM"""
"Everything In Its Right Place,"""","""",""4:12"",""https://music.youtube.com/watch?v=NUnXxh5U25Y&list=LM"""
"Cat Scratch Fever,"""","""",""3:53"",""https://music.youtube.com/watch?v=9cA5gp3ExV4&list=LM"""
"An Heir To Emptiness,"""","""",""8:43"",""https://music.youtube.com/watch?v=W4TEJy20z5g&list=LM"""
"A Life Less Lived,"""","""",""8:24"",""https://music.youtube.com/watch?v=jTw--7QBrgg&list=LM"""
"Dead Air,"""","""",""5:24"",""https://music.youtube.com/watch?v=F5qwf-WTCY4&list=LM"""
"Hollow,"""","""",""8:07"",""https://music.youtube.com/watch?v=p4EykjUqA-E&list=LM"""
"A Room Between the Rooms,"""","""",""6:34"",""https://music.youtube.com/watch?v=keNASMqOFtA&list=LM"""
"monolith,"""","""",""47:12"",""https://music.youtube.com/watch?v=U__1_2trJAk&list=LM"""
"dark sadcore // death liminal spaces // agonized souls,"""","""",""1:22:27"",""https://music.youtube.com/watch?v=YZp82vwK24U&list=LM"""
"Kanonenfieber - Live in Munich, Germany (09/04/2023),"""","""",""53:28"",""https://music.youtube.com/watch?v=l-_ogvZPDWQ&list=LM"""
"GUITAR BATTLE / EpicPlay ????????? 9 ????? / ?????? ?????????,"""","""",""1:42:26"",""https://music.youtube.com/watch?v=VqTMMAjDfEU&list=LM"""
"GUITAR BATTLE / EpicPlay 1/4 ?????? 8 ????? / ???? ???????,"""","""",""1:36:19"",""https://music.youtube.com/watch?v=ktP0-eXYHp8&list=LM"""
"Pneuma,"""","""",""10:10"",""https://music.youtube.com/watch?v=kZKIwozGEx8&list=LM"""
"GUITAR BATTLE / EpicPlay 1/8 ?????? 6 ????? / Noname,"""","""",""54:41"",""https://music.youtube.com/watch?v=NkGE_TzQvIc&list=LM"""
"GUITAR BATTLE / EpicPlay 1/8 ?????? 5 ????? / ?? ????? ?????!,"""","""",""1:06:58"",""https://music.youtube.com/watch?v=w-JjsaA2TqI&list=LM"""
"Silent Hill 2: Soundtrack Cover,"""","""",""33:34"",""https://music.youtube.com/watch?v=6eKL16ShKSI&list=LM"""
"Minenwerfer - Feuerwalze (Full Album),"""","""",""48:39"",""https://music.youtube.com/watch?v=M4KmUxZ7bxs&list=LM"""
"Burzum - Det Som Engang Var (full version),"""","""",""14:25"",""https://music.youtube.com/watch?v=Wry9G6rcdQw&list=LM"""
"My Eternal Grief, Anguish Neverending,"""","""",""8:10"",""https://music.youtube.com/watch?v=WAEG_wqhj_s&list=LM"""
"Ewan Dobson - Molten Anguish {7-String},"""","""",""5:33"",""https://music.youtube.com/watch?v=ZlYEi5BZEk4&list=LM"""
"Ewan Dobson - Blue Rose [2021],"""","""",""4:23"",""https://music.youtube.com/watch?v=tWCCAZggnE4&list=LM"""
"Ewan Dobson - Fatally Enlightened,"""","""",""5:13"",""https://music.youtube.com/watch?v=BFmKcp4D2cc&list=LM"""
"The Rite of Our Cross,"""","""",""5:46"",""https://music.youtube.com/watch?v=1I_olo54eLs&list=LM"""
"The Pot,"""","""",""6:23"",""https://music.youtube.com/watch?v=V5tLbq_xz1c&list=LM"""
"Uzh I Ya Li Moloda, Tonkopriaditsa Byla,"""","""",""7:35"",""https://music.youtube.com/watch?v=gSNQe0XM58A&list=LM"""
"Lateralus,"""","""",""8:49"",""https://music.youtube.com/watch?v=fyDA6CTVqgw&list=LM"""
"No Quarter - Ernesto Schnack,"""","""",""9:00"",""https://music.youtube.com/watch?v=XNq5w9WHEmg&list=LM"""
"Descending - TOOL | Solo Acoustic Guitar Cover,"""","""",""12:00"",""https://music.youtube.com/watch?v=XNuZmqcLjzM&list=LM"""
"Dicke Titten,"""","""",""5:47"",""https://music.youtube.com/watch?v=thJgU9jkdU4&list=LM"""
"None - Life Has Gone On Long Enough (Full Album),"""","""",""52:31"",""https://music.youtube.com/watch?v=9VbL1E3vJOM&list=LM"""
"I Play With 5 AMAZING Fan Solos,"""","""",""8:02"",""https://music.youtube.com/watch?v=johdtEqG2E4&list=LM"""
