"title,artist,album,duration,url"
"Black Magick Spell,"""","""",""3:21"",""https://music.youtube.com/watch?v=q2GJ-ZdEZ_g&list=LM"""
"You Wish,"""","""",""9:36"",""https://music.youtube.com/watch?v=pOiOyFOV5Oc&list=LM"""
"Clear I,"""","""",""3:41"",""https://music.youtube.com/watch?v=6U2ZefIseYU&list=LM"""
"Clear II,"""","""",""2:47"",""https://music.youtube.com/watch?v=nsr-en5MdHc&list=LM"""
"Onyx,"""","""",""3:52"",""https://music.youtube.com/watch?v=D7-SvOWomyM&list=LM"""
"I Am the Gravity,"""","""",""4:30"",""https://music.youtube.com/watch?v=tpaWj-B6cCI&list=LM"""
"Hypersurreal,"""","""",""4:50"",""https://music.youtube.com/watch?v=mcZbNUW_51g&list=LM"""
"De Dood In Bloei,"""","""",""4:39"",""https://music.youtube.com/watch?v=6oMn-Z4Z8-E&list=LM"""
"High Tide,"""","""",""6:53"",""https://music.youtube.com/watch?v=kZIP7MXcOpU&list=LM"""
"Orestes,"""","""",""4:49"",""https://music.youtube.com/watch?v=TVF7Z3Pj_-I&list=LM"""
"Emerging,"""","""",""7:09"",""https://music.youtube.com/watch?v=jieoGeBlo-U&list=LM"""
"The Red,"""","""",""3:59"",""https://music.youtube.com/watch?v=z1ndFL1v34E&list=LM"""
"Crystal Ann,"""","""",""1:42"",""https://music.youtube.com/watch?v=e7a8EOwByZM&list=LM"""
"Hugsja,"""","""",""4:36"",""https://music.youtube.com/watch?v=Qg_IDDzVS_E&list=LM"""
"WAVES (feat. CAMMIE GILBERT),"""","""",""9:11"",""https://music.youtube.com/watch?v=nqwJX-TZx0c&list=LM"""
"Lo,"""","""",""6:38"",""https://music.youtube.com/watch?v=TgDPUQDOdDs&list=LM"""
"Candy,"""","""",""5:51"",""https://music.youtube.com/watch?v=GPnqVsODSt0&list=LM"""
"God Is Dead?,"""","""",""8:53"",""https://music.youtube.com/watch?v=kkcHZQ_hZWk&list=LM"""
"Homecoming: Denied!,"""","""",""7:54"",""https://music.youtube.com/watch?v=K9LaMCgUWiE&list=LM"""
"Into Distance,"""","""",""7:35"",""https://music.youtube.com/watch?v=mbU1ljSmGZ4&list=LM"""
"Exemption,"""","""",""6:28"",""https://music.youtube.com/watch?v=axrg0y2y-G0&list=LM"""
"Endless...,"""","""",""5:33"",""https://music.youtube.com/watch?v=7KuLpsUHGLs&list=LM"""
"Inner Voices,"""","""",""2:55"",""https://music.youtube.com/watch?v=NNhIHnirTkk&list=LM"""
"They Rode On,"""","""",""8:43"",""https://music.youtube.com/watch?v=y1shqeyKVPI&list=LM"""
"The Eerie Cold,"""","""",""5:52"",""https://music.youtube.com/watch?v=AZOU9wKdLbQ&list=LM"""
"Hollow Stone,"""","""",""4:16"",""https://music.youtube.com/watch?v=lyZstvo5TCY&list=LM"""
"It Always Comes Back,"""","""",""5:51"",""https://music.youtube.com/watch?v=tSo4vqcFFL0&list=LM"""
"Bored,"""","""",""4:06"",""https://music.youtube.com/watch?v=QPXLYUHJP1Y&list=LM"""
"Melantroduction,"""","""",""3:16"",""https://music.youtube.com/watch?v=ZP6OkstgB9I&list=LM"""
"Cain,"""","""",""5:26"",""https://music.youtube.com/watch?v=cbyodXriMyI&list=LM"""
"POTHAMUS - Abur in the Ark,"""","""",""1:05:14"",""https://music.youtube.com/watch?v=DAoCQ_2HtjU&list=LM"""
"Orath,"""","""",""11:09"",""https://music.youtube.com/watch?v=aPM9YjWVdWM&list=LM"""
"Viso,"""","""",""9:27"",""https://music.youtube.com/watch?v=Z2LXEITU_Yg&list=LM"""
"Unha Ofrenta de ?sos,"""","""",""6:32"",""https://music.youtube.com/watch?v=xUdqDVHxbL4&list=LM"""
"The Swan,"""","""",""6:29"",""https://music.youtube.com/watch?v=y60E7DCiS-s&list=LM"""
"Sorg,"""","""",""6:07"",""https://music.youtube.com/watch?v=33v9oTMRMmI&list=LM"""
"Silently I Surrender,"""","""",""8:03"",""https://music.youtube.com/watch?v=ZoFoQ5yQxwU&list=LM"""
"Wehmut,"""","""",""3:00"",""https://music.youtube.com/watch?v=EYRQG9a9jGE&list=LM"""
"Landlocked (Live),"""","""",""4:38"",""https://music.youtube.com/watch?v=_LTxt7DgXMk&list=LM"""
"Welcome to the Machine,"""","""",""6:41"",""https://music.youtube.com/watch?v=r1u2XOwQ_yM&list=LM"""
"I Skumringstimen,"""","""",""3:31"",""https://music.youtube.com/watch?v=voZO5gm60_o&list=LM"""
"Reality Clash,"""","""",""7:46"",""https://music.youtube.com/watch?v=xbUxx0rmuc4&list=LM"""
"Everything You Know Is Wrong (Acoustic),"""","""",""2:56"",""https://music.youtube.com/watch?v=mZxLTuCL-1M&list=LM"""
"Everything You Know Is Wrong,"""","""",""4:04"",""https://music.youtube.com/watch?v=2xvpOvlh27k&list=LM"""
"Magma,"""","""",""4:27"",""https://music.youtube.com/watch?v=WS9hDJpSwPM&list=LM"""
"Trial of Past,"""","""",""5:15"",""https://music.youtube.com/watch?v=PxRSY6cY6cY&list=LM"""
"Why so Lonely,"""","""",""5:15"",""https://music.youtube.com/watch?v=UzJEdNngx10&list=LM"""
"A Life All Mine,"""","""",""5:08"",""https://music.youtube.com/watch?v=3XznQiIcuP0&list=LM"""
"A Fine Day to Exit,"""","""",""6:49"",""https://music.youtube.com/watch?v=_ZwFceamokg&list=LM"""
"Landlocked,"""","""",""4:01"",""https://music.youtube.com/watch?v=3fjhrbZ06xA&list=LM"""
"The Freak Show,"""","""",""5:11"",""https://music.youtube.com/watch?v=vHQCY3N4WRQ&list=LM"""
"Autumn I,"""","""",""4:24"",""https://music.youtube.com/watch?v=_pZ1zDWCUOU&list=LM"""
"Blister,"""","""",""3:38"",""https://music.youtube.com/watch?v=4ck4wolBXB4&list=LM"""
"Change (In the House of Flies) [Acoustic] [2005 Remaster] (Acoustic; 2005 Remaster),"""","""",""5:17"",""https://music.youtube.com/watch?v=4SOsljKynx4&list=LM"""
"Tourniquet,"""","""",""4:29"",""https://music.youtube.com/watch?v=8yonCpzQWwc&list=LM"""
"Essence of Black,"""","""",""5:36"",""https://music.youtube.com/watch?v=ldgrXPhpn5o&list=LM"""
"No Celebration,"""","""",""3:49"",""https://music.youtube.com/watch?v=qY2HFu9oMhk&list=LM"""
"Stress,"""","""",""5:03"",""https://music.youtube.com/watch?v=twT2-60_Ab4&list=LM"""
"Voodoo,"""","""",""4:43"",""https://music.youtube.com/watch?v=XaiYxczjZ0U&list=LM"""
"Graveyard Disciples,"""","""",""3:22"",""https://music.youtube.com/watch?v=A5hBQzJE58M&list=LM"""
"Lover's Grief,"""","""",""9:12"",""https://music.youtube.com/watch?v=bfTrg4Q1tmI&list=LM"""
"The 8th Day: Mourning,"""","""",""6:08"",""https://music.youtube.com/watch?v=i39jMMvG2Fk&list=LM"""
"Floods,"""","""",""7:00"",""https://music.youtube.com/watch?v=y07nCSxwkso&list=LM"""
"Plateau of the Ages,"""","""",""12:27"",""https://music.youtube.com/watch?v=UEt1_nRY8LM&list=LM"""
"Fraccions,"""","""",""4:57"",""https://music.youtube.com/watch?v=jMmsjnCCQ3A&list=LM"""
"(Serpens Caput) (feat. Nathanael Larochette),"""","""",""3:07"",""https://music.youtube.com/watch?v=8wZ-X549ZU0&list=LM"""
"To Drown,"""","""",""10:28"",""https://music.youtube.com/watch?v=fpMjsCK43ew&list=LM"""
"Black Lake Ni?st?ng,"""","""",""17:35"",""https://music.youtube.com/watch?v=ktL2xfaLXM4&list=LM"""
"The Ghosts Of Summer's Past,"""","""",""5:56"",""https://music.youtube.com/watch?v=2lr-MqtDE-g&list=LM"""
